Kanji,Onyomi,Kunyomi,English,JLPT Level,Category,kanji_to_english,english_to_kanji,kanji_to_pronunciation,pronunciation_to_kanji,english_to_pronunciation,pronunciation_to_english
,,いただきます,expression of gratitude before meals,N3,Vocabulary,,,,,not studied,not studied
頂く,,いただく,"to receive,to take food or drink (hum)",N3,Vocabulary,,,,,not studied,not studied
痛み,,いたみ,"pain,ache,sore,grief,distress",N3,Vocabulary,,,,,not studied,not studied
至る,,いたる,"to come,to arrive",N3,Vocabulary,,,,,not studied,not studied
,,いち,"market,fair",N3,Vocabulary,,,,,not studied,not studied
位置,,いち,"place,situation,position,location",N3,Vocabulary,,,,,not studied,not studied
一時,,いちじ,"moment,time",N3,Vocabulary,,,,,not studied,not studied
一度に,,いちどに,all at once,N3,Vocabulary,,,,,not studied,not studied
市場,,いちば,(the) market (as a concept),N3,Vocabulary,,,,,not studied,not studied
一番,,いちばん,"best,first,number one",N3,Vocabulary,,,,,not studied,not studied
,,いつか,"sometime,someday,one day",N3,Vocabulary,,,,,not studied,not studied
一家,,いっか,"a house,a home,a family,a household",N3,Vocabulary,,,,,not studied,not studied
一種,,いっしゅ,"a species,a kind,a variety",N3,Vocabulary,,,,,not studied,not studied
一瞬,,いっしゅん,"a moment,an instant",N3,Vocabulary,,,,,not studied,not studied
一生,,いっしょう,"whole life,a lifetime,all through life",N3,Vocabulary,,,,,not studied,not studied
一層,,いっそう,"much more,still more,all the more",N3,Vocabulary,,,,,not studied,not studied
一体,,いったい,"(1) one object,one body,(2) what on earth?,really?,(3) generally",N3,Vocabulary,,,,,not studied,not studied
一致,,いっち,"(1) coincidence,agreement,(2) conformity",N3,Vocabulary,,,,,not studied,not studied
,,いつでも,"(at) any time,always,at all times,never (neg)",N3,Vocabulary,,,,,not studied,not studied
一般,,いっぱん,"general,liberal,universal,ordinary,average",N3,Vocabulary,,,,,not studied,not studied
一方,,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",N3,Vocabulary,,,,,not studied,not studied
,,いつまでも,"forever,for good,eternally,as long as one likes,indefinitely",N3,Vocabulary,,,,,not studied,not studied
いつも,,いつも,"always,usually,every time,never (with neg. verb)",N3,Vocabulary,,,,,not studied,not studied
移動,,いどう,"removal,migration,movement",N3,Vocabulary,,,,,not studied,not studied
従兄弟,,いとこ,cousin (male),N3,Vocabulary,,,,,not studied,not studied
稲,,いね,rice-plant,N3,Vocabulary,,,,,not studied,not studied
居眠り,,いねむり,"dozing,nodding off",N3,Vocabulary,,,,,not studied,not studied
命,,いのち,"command,decree,life,destiny",N3,Vocabulary,,,,,not studied,not studied
違反,,いはん,"violation (of law),transgression,infringement,breach",N3,Vocabulary,,,,,not studied,not studied
衣服,,いふく,clothes,N3,Vocabulary,,,,,not studied,not studied
居間,,いま,living room (western style),N3,Vocabulary,,,,,not studied,not studied
今に,,いまに,"before long,even now",N3,Vocabulary,,,,,not studied,not studied
今にも,,いまにも,"at any time,soon",N3,Vocabulary,,,,,not studied,not studied
否,,いや,"no,the noes",N3,Vocabulary,,,,,not studied,not studied
以来,,いらい,"since,henceforth",N3,Vocabulary,,,,,not studied,not studied
依頼,,いらい,"(1) request,commission,dispatch,(2) dependence,trust",N3,Vocabulary,,,,,not studied,not studied
,,いらいら,"getting nervous,irritation",N3,Vocabulary,,,,,not studied,not studied
,,いらっしゃい,welcome,N3,Vocabulary,,,,,not studied,not studied
医療,,いりょう,"medical care,medical treatment",N3,Vocabulary,,,,,not studied,not studied
岩,,いわ,"rock,crag",N3,Vocabulary,,,,,not studied,not studied
祝い,,いわい,"celebration,festival",N3,Vocabulary,,,,,not studied,not studied
祝う,,いわう,"to congratulate,to celebrate",N3,Vocabulary,,,,,not studied,not studied
言わば,,いわば,so to speak,N3,Vocabulary,,,,,not studied,not studied
,,いわゆる,"the so-called,so to speak",N3,Vocabulary,,,,,not studied,not studied
,,インク,ink,N3,Vocabulary,,,,,not studied,not studied
印刷,,いんさつ,printing,N3,Vocabulary,,,,,not studied,not studied
印象,,いんしょう,impression,N3,Vocabulary,,,,,not studied,not studied
引退,,いんたい,retire,N3,Vocabulary,,,,,not studied,not studied
引用,,いんよう,"quotation,citation",N3,Vocabulary,,,,,not studied,not studied
,,ウイスキー,whisky,N3,Vocabulary,,,,,not studied,not studied
上,,うわ,"upper,outer,surface",N3,Vocabulary,,,,,not studied,not studied
魚,,うお,fish,N3,Vocabulary,,,,,not studied,not studied
,,うがい,"gargle,rinse mouth",N3,Vocabulary,,,,,not studied,not studied
伺う,,うかがう,"(hon) to visit,to ask,to inquire",N3,Vocabulary,,,,,not studied,not studied
受け取る,,うけとる,"to receive,to get,to accept,to take",N3,Vocabulary,,,,,not studied,not studied
動かす,,うごかす,"to move,to shift",N3,Vocabulary,,,,,not studied,not studied
兎,,うさぎ,"rabbit,hare,cony",N3,Vocabulary,,,,,not studied,not studied
牛,,うし,"cattle,cow",N3,Vocabulary,,,,,not studied,not studied
失う,,うしなう,"to lose,to part with",N3,Vocabulary,,,,,not studied,not studied
後,,うしろ,"afterwards,since then,in the future",N3,Vocabulary,,,,,not studied,not studied
嘘,,うそ,"lie,falsehood,incorrect fact,inappropriate",N3,Vocabulary,,,,,not studied,not studied
疑う,,うたがう,"to doubt,to distrust,to be suspicious of,to suspect",N3,Vocabulary,,,,,not studied,not studied
内,,うち,inside,N3,Vocabulary,,,,,not studied,not studied
宇宙,,うちゅう,"universe,cosmos,space",N3,Vocabulary,,,,,not studied,not studied
撃つ,,うつ,"to attack,to defeat,to destroy",N3,Vocabulary,,,,,not studied,not studied
移す,,うつす,"to remove,to transfer,to infect",N3,Vocabulary,,,,,not studied,not studied
訴える,,うったえる,"to sue (a person),to resort to,to appeal to",N3,Vocabulary,,,,,not studied,not studied
,,うなる,"to groan,to moan",N3,Vocabulary,,,,,not studied,not studied
奪う,,うばう,to snatch away,N3,Vocabulary,,,,,not studied,not studied
馬,,うま,"(1) horse,(2) promoted bishop (shogi)",N3,Vocabulary,,,,,not studied,not studied
うまい,,うまい,delicious,N3,Vocabulary,,,,,not studied,not studied
生まれ,,うまれ,"birth,birth-place",N3,Vocabulary,,,,,not studied,not studied
梅,,うめ,"plum,plum-tree,lowest (of a three-tier ranking system)",N3,Vocabulary,,,,,not studied,not studied
裏切る,,うらぎる,"to betray,to turn traitor to,to double-cross",N3,Vocabulary,,,,,not studied,not studied
,,うるさい,"noisy,loud,fussy",N3,Vocabulary,,,,,not studied,not studied
嬉しい,,うれしい,"happy,glad,pleasant",N3,Vocabulary,,,,,not studied,not studied
売れる,,うれる,to be sold,N3,Vocabulary,,,,,not studied,not studied
噂,,うわさ,"rumour,report,gossip,common talk",N3,Vocabulary,,,,,not studied,not studied
うん,,（感）,"fortune,luck",N3,Vocabulary,,,,,not studied,not studied
運,,うん,"fortune,luck",N3,Vocabulary,,,,,not studied,not studied
運転,,うんてん,"operation,motion,driving",N3,Vocabulary,,,,,not studied,not studied
運動,,うんどう,"motion,exercise",N3,Vocabulary,,,,,not studied,not studied
柄,,え,"handle,grip",N3,Vocabulary,,,,,not studied,not studied
永遠,,えいえん,"eternity,perpetuity,immortality,permanence",N3,Vocabulary,,,,,not studied,not studied
永久,,えいきゅう,"eternity,perpetuity,immortality",N3,Vocabulary,,,,,not studied,not studied
影響,,えいきょう,"influence,effect",N3,Vocabulary,,,,,not studied,not studied
営業,,えいぎょう,"business,trade,management",N3,Vocabulary,,,,,not studied,not studied
衛星,,えいせい,satellite,N3,Vocabulary,,,,,not studied,not studied
栄養,,えいよう,"nutrition,nourishment",N3,Vocabulary,,,,,not studied,not studied
笑顔,,えがお,smiling face,N3,Vocabulary,,,,,not studied,not studied
描く,,えがく,"to draw,to paint,to sketch,to depict,to describe",N3,Vocabulary,,,,,not studied,not studied
餌,,えさ,"feed,bait",N3,Vocabulary,,,,,not studied,not studied
,,エネルギー,(n) energy (de: Energie),N3,Vocabulary,,,,,not studied,not studied
得る,,える,"to get,to gain,to win",N3,Vocabulary,,,,,not studied,not studied
得る,,うる,"to get,to gain,to win",N3,Vocabulary,,,,,not studied,not studied
円,,えん,"circle,money",N3,Vocabulary,,,,,not studied,not studied
延期,,えんき,"postponement,adjournment",N3,Vocabulary,,,,,not studied,not studied
演技,,えんぎ,"acting,performance",N3,Vocabulary,,,,,not studied,not studied
援助,,えんじょ,"assistance,aid,support",N3,Vocabulary,,,,,not studied,not studied
,,エンジン,engine,N3,Vocabulary,,,,,not studied,not studied
演説,,えんぜつ,"speech,address",N3,Vocabulary,,,,,not studied,not studied
演奏,,えんそう,musical performance,N3,Vocabulary,,,,,not studied,not studied
遠慮,,えんりょ,"diffidence,restraint,reserve",N3,Vocabulary,,,,,not studied,not studied
御,,お,honourable,N3,Vocabulary,,,,,not studied,not studied
老い,,おい,"old age,old person,the old,the aged",N3,Vocabulary,,,,,not studied,not studied
追い付く,,おいつく,"to overtake,to catch up (with)",N3,Vocabulary,,,,,not studied,not studied
王,,おう,"king,ruler,sovereign,monarch",N3,Vocabulary,,,,,not studied,not studied
追う,,おう,"to chase,to run after",N3,Vocabulary,,,,,not studied,not studied
王様,,おうさま,king,N3,Vocabulary,,,,,not studied,not studied
王子,,おうじ,prince,N3,Vocabulary,,,,,not studied,not studied
応じる,,おうじる,"to respond,to satisfy,to accept,to comply with,to apply for",N3,Vocabulary,,,,,not studied,not studied
横断,,おうだん,crossing,N3,Vocabulary,,,,,not studied,not studied
終える,,おえる,to finish,N3,Vocabulary,,,,,not studied,not studied
大いに,,おおいに,"very,much,greatly",N3,Vocabulary,,,,,not studied,not studied
覆う,,おおう,"to cover,to hide,to conceal,to wrap,to disguise",N3,Vocabulary,,,,,not studied,not studied
,,オーバー,"(1) overcoat,(2) over",N3,Vocabulary,,,,,not studied,not studied
大家,,おおや,"rich family,distinguished family",N3,Vocabulary,,,,,not studied,not studied
丘,,おか,"hill,height,knoll,rising ground",N3,Vocabulary,,,,,not studied,not studied
沖,,おき,open sea,N3,Vocabulary,,,,,not studied,not studied
奥,,おく,"interior,inner part",N3,Vocabulary,,,,,not studied,not studied
贈る,,おくる,"to send,to give to,to award to,to confer on",N3,Vocabulary,,,,,not studied,not studied
起こる,,おこる,"to occur,to happen",N3,Vocabulary,,,,,not studied,not studied
幼い,,おさない,"very young,childish",N3,Vocabulary,,,,,not studied,not studied
収める,,おさめる,"to obtain,to reap,to pay,to supply,to accept",N3,Vocabulary,,,,,not studied,not studied
,,おじいさん,"grandfather,male senior-citizen",N3,Vocabulary,,,,,not studied,not studied
,,おしゃべり,"chattering,talk,idle talk",N3,Vocabulary,,,,,not studied,not studied
汚染,,おせん,"pollution,contamination",N3,Vocabulary,,,,,not studied,not studied
,,おそらく,perhaps,N3,Vocabulary,,,,,not studied,not studied
恐れる,,おそれる,"to fear,to be afraid of",N3,Vocabulary,,,,,not studied,not studied
恐ろしい,,おそろしい,"terrible,dreadful",N3,Vocabulary,,,,,not studied,not studied
お互い,,おたがい,"mutual,reciprocal,each other",N3,Vocabulary,,,,,not studied,not studied
穏やか,,おだやか,"calm,gentle,quiet",N3,Vocabulary,,,,,not studied,not studied
男の人,,おとこのひと,man,N3,Vocabulary,,,,,not studied,not studied
劣る,,おとる,"to fall behind,to be inferior to",N3,Vocabulary,,,,,not studied,not studied
お腹,,おなか,stomach,N3,Vocabulary,,,,,not studied,not studied
鬼,,おに,"ogre,demon,it (i.e., in a game of tag)",N3,Vocabulary,,,,,not studied,not studied
帯,,おび,"band (e.g. conduction, valence)",N3,Vocabulary,,,,,not studied,not studied
お昼,,おひる,"lunch,noon",N3,Vocabulary,,,,,not studied,not studied
,,オフィス,office,N3,Vocabulary,,,,,not studied,not studied
溺れる,,おぼれる,"to be drowned,to indulge in",N3,Vocabulary,,,,,not studied,not studied
,,おまえ,"(fam) you (sing),presence (of a high personage)",N3,Vocabulary,,,,,not studied,not studied
,,おめでとう,"Congratulations!,an auspicious occasion!",N3,Vocabulary,,,,,not studied,not studied
お目に掛かる,,おめにかかる,,N3,Vocabulary,,,,,not studied,not studied
思い出,,おもいで,"memories,recollections,reminiscence",N3,Vocabulary,,,,,not studied,not studied
主に,,おもに,"mainly,primarily",N3,Vocabulary,,,,,not studied,not studied
思わず,,おもわず,"unintentional,spontaneous",N3,Vocabulary,,,,,not studied,not studied
,,おや,parents,N3,Vocabulary,,,,,not studied,not studied
泳ぎ,,およぎ,swimming,N3,Vocabulary,,,,,not studied,not studied
,,およそ,"about,roughly,as a rule,approximately",N3,Vocabulary,,,,,not studied,not studied
及ぼす,,およぼす,"to exert,to cause,to exercise",N3,Vocabulary,,,,,not studied,not studied
居る,,おる,"to be (animate),to be,to exist",N3,Vocabulary,,,,,not studied,not studied
下す,,おろす,"to lower,to let go down",N3,Vocabulary,,,,,not studied,not studied
降ろす,,おろす,"to take down,to launch,to drop",N3,Vocabulary,,,,,not studied,not studied
終,,おわり,the end,N3,Vocabulary,,,,,not studied,not studied
音,,おん,"sound,note",N3,Vocabulary,,,,,not studied,not studied
恩,,おん,"favour,obligation,debt of gratitude",N3,Vocabulary,,,,,not studied,not studied
温暖,,おんだん,warmth,N3,Vocabulary,,,,,not studied,not studied
温度,,おんど,temperature,N3,Vocabulary,,,,,not studied,not studied
可,,か,passable,N3,Vocabulary,,,,,not studied,not studied
課,,か,counter for chapters (of a book),N3,Vocabulary,,,,,not studied,not studied
,,カー,car,N3,Vocabulary,,,,,not studied,not studied
,,カード,"card,curd",N3,Vocabulary,,,,,not studied,not studied
会,,かい,"meeting,assembly,party,association,club",N3,Vocabulary,,,,,not studied,not studied
回,,かい,counter for occurrences,N3,Vocabulary,,,,,not studied,not studied
害,,がい,"injury,harm,evil influence,damage",N3,Vocabulary,,,,,not studied,not studied
会員,,かいいん,"member,the membership",N3,Vocabulary,,,,,not studied,not studied
絵画,,かいが,picture,N3,Vocabulary,,,,,not studied,not studied
海外,,かいがい,"foreign,abroad,overseas",N3,Vocabulary,,,,,not studied,not studied
会計,,かいけい,"account,finance,accountant",N3,Vocabulary,,,,,not studied,not studied
解決,,かいけつ,"settlement,solution,resolution",N3,Vocabulary,,,,,not studied,not studied
会合,,かいごう,"meeting,assembly",N3,Vocabulary,,,,,not studied,not studied
外交,,がいこう,diplomacy,N3,Vocabulary,,,,,not studied,not studied
開始,,かいし,"start,commencement,beginning",N3,Vocabulary,,,,,not studied,not studied
解釈,,かいしゃく,"explanation,interpretation",N3,Vocabulary,,,,,not studied,not studied
外出,,がいしゅつ,"outing,going out",N3,Vocabulary,,,,,not studied,not studied
改善,,かいぜん,"betterment,improvement",N3,Vocabulary,,,,,not studied,not studied
快適,,かいてき,"pleasant,agreeable,comfortable",N3,Vocabulary,,,,,not studied,not studied
回復,,かいふく,"recovery (from illness),improvement,rehabilitation,restoration",N3,Vocabulary,,,,,not studied,not studied
飼う,,かう,"to keep,to raise,to feed",N3,Vocabulary,,,,,not studied,not studied
替える,,かえる,"to exchange,to interchange,to substitute,to replace",N3,Vocabulary,,,,,not studied,not studied
換える,,かえる,"to exchange,to interchange,to substitute,to replace",N3,Vocabulary,,,,,not studied,not studied
香り,,かおり,"aroma,fragrance,scent,smell",N3,Vocabulary,,,,,not studied,not studied
画家,,がか,"painter,artist",N3,Vocabulary,,,,,not studied,not studied
抱える,,かかえる,to hold or carry under or in the arms,N3,Vocabulary,,,,,not studied,not studied
価格,,かかく,"price,value,cost",N3,Vocabulary,,,,,not studied,not studied
化学,,かがく,chemistry,N3,Vocabulary,,,,,not studied,not studied
輝く,,かがやく,"to shine,to glitter,to sparkle",N3,Vocabulary,,,,,not studied,not studied
係,,かかり,"official,duty,person in charge",N3,Vocabulary,,,,,not studied,not studied
掛かる,,かかる,"to take (e.g. time, money, etc),to hang",N3,Vocabulary,,,,,not studied,not studied
罹る,,かかる,to suffer from,N3,Vocabulary,,,,,not studied,not studied
鍵,,かぎ,key,N3,Vocabulary,,,,,not studied,not studied
限る,,かぎる,"to restrict,to limit,to confine",N3,Vocabulary,,,,,not studied,not studied
描く,,かく,"to draw,to paint,to sketch,to depict,to describe",N3,Vocabulary,,,,,not studied,not studied
家具,,かぐ,furniture,N3,Vocabulary,,,,,not studied,not studied
学,,がく,"learning,scholarship,erudition,knowledge",N3,Vocabulary,,,,,not studied,not studied
額,,がく,"forehead,brow",N3,Vocabulary,,,,,not studied,not studied
覚悟,,かくご,"resolution,resignation,readiness,preparedness",N3,Vocabulary,,,,,not studied,not studied
確実,,かくじつ,"certainty,reliability,soundness",N3,Vocabulary,,,,,not studied,not studied
学者,,がくしゃ,scholar,N3,Vocabulary,,,,,not studied,not studied
学習,,がくしゅう,"study,learning",N3,Vocabulary,,,,,not studied,not studied
隠す,,かくす,"to hide,to conceal",N3,Vocabulary,,,,,not studied,not studied
拡大,,かくだい,"magnification,enlargement",N3,Vocabulary,,,,,not studied,not studied
確認,,かくにん,"affirmation,confirmation",N3,Vocabulary,,,,,not studied,not studied
学問,,がくもん,"scholarship,study,learning",N3,Vocabulary,,,,,not studied,not studied
隠れる,,かくれる,"to hide,to be hidden,to conceal oneself,to disappear",N3,Vocabulary,,,,,not studied,not studied
影,,かげ,"shade,shadow,other side",N3,Vocabulary,,,,,not studied,not studied
陰,,かげ,"shade,shadow,other side",N3,Vocabulary,,,,,not studied,not studied
欠ける,,かける,to be lacking,N3,Vocabulary,,,,,not studied,not studied
加減,,かげん,"addition and subtraction,allowance for",N3,Vocabulary,,,,,not studied,not studied
過去,,かこ,"the past,bygone days,the previous",N3,Vocabulary,,,,,not studied,not studied
籠,,かご,"basket,cage",N3,Vocabulary,,,,,not studied,not studied
囲む,,かこむ,"to surround,to encircle",N3,Vocabulary,,,,,not studied,not studied
火災,,かさい,"conflagration,fire",N3,Vocabulary,,,,,not studied,not studied
貸し,,かし,"loan,lending",N3,Vocabulary,,,,,not studied,not studied
菓子,,かし,pastry,N3,Vocabulary,,,,,not studied,not studied
家事,,かじ,"housework,domestic chores",N3,Vocabulary,,,,,not studied,not studied
賢い,,かしこい,"wise,clever,smart",N3,Vocabulary,,,,,not studied,not studied
歌手,,かしゅ,singer,N3,Vocabulary,,,,,not studied,not studied
数,,かず,"number,figure",N3,Vocabulary,,,,,not studied,not studied
稼ぐ,,かせぐ,"to earn income,to labor",N3,Vocabulary,,,,,not studied,not studied
数える,,かぞえる,to count,N3,Vocabulary,,,,,not studied,not studied
型,,かた,"mold,model,style,shape,data-type",N3,Vocabulary,,,,,not studied,not studied
肩,,かた,shoulder,N3,Vocabulary,,,,,not studied,not studied
硬い,,かたい,"solid,hard (esp. metal, stone),unpolished writing",N3,Vocabulary,,,,,not studied,not studied
方々,,かたがた,"persons,this and that,here and there,everywhere",N3,Vocabulary,,,,,not studied,not studied
刀,,かたな,"sword,saber,knife,engraving tool",N3,Vocabulary,,,,,not studied,not studied
語る,,かたる,"to talk,to tell,to recite",N3,Vocabulary,,,,,not studied,not studied
勝ち,,かち,"win,victory",N3,Vocabulary,,,,,not studied,not studied
価値,,かち,"value,worth,merit",N3,Vocabulary,,,,,not studied,not studied
,,がっかり,"feel disappointed,be dejected,lose heart",N3,Vocabulary,,,,,not studied,not studied
活気,,かっき,"energy,liveliness",N3,Vocabulary,,,,,not studied,not studied
学期,,がっき,term (school),N3,Vocabulary,,,,,not studied,not studied
格好,,かっこう,"shape,form,posture,suitability",N3,Vocabulary,,,,,not studied,not studied
活動,,かつどう,"action,activity",N3,Vocabulary,,,,,not studied,not studied
活用,,かつよう,"conjugation,practical use",N3,Vocabulary,,,,,not studied,not studied
悲しむ,,かなしむ,"to be sad,to mourn for,to regret",N3,Vocabulary,,,,,not studied,not studied
必ずしも,,かならずしも,"(not) always,(not) necessarily,(not) all,(not) entirely",N3,Vocabulary,,,,,not studied,not studied
,,かなり,"considerably,fairly,quite",N3,Vocabulary,,,,,not studied,not studied
金,,かね,"(1) gold,(2) gold general (shogi) (abbr)",N3,Vocabulary,,,,,not studied,not studied
金持ち,,かねもち,rich man,N3,Vocabulary,,,,,not studied,not studied
可能,,かのう,"possible,practicable,feasible",N3,Vocabulary,,,,,not studied,not studied
株,,かぶ,"share,stock,stump (of tree)",N3,Vocabulary,,,,,not studied,not studied
被る,,かぶる,to suffer,N3,Vocabulary,,,,,not studied,not studied
構う,,かまう,"to mind,to care about,to be concerned about",N3,Vocabulary,,,,,not studied,not studied
我慢,,がまん,"patience,endurance,perseverance",N3,Vocabulary,,,,,not studied,not studied
上,,かみ,"(1) first volume,(2) superior quality,(3) governmental",N3,Vocabulary,,,,,not studied,not studied
神,,かみ,god,N3,Vocabulary,,,,,not studied,not studied
雷,,かみなり,thunder,N3,Vocabulary,,,,,not studied,not studied
髪の毛,,かみのけ,hair (head),N3,Vocabulary,,,,,not studied,not studied
科目,,かもく,"(school) subject,curriculum,course",N3,Vocabulary,,,,,not studied,not studied
,,かもしれない,"may,might,perhaps,may be,possibly",N3,Vocabulary,,,,,not studied,not studied
火曜,,かよう,(abbr) Tuesday,N3,Vocabulary,,,,,not studied,not studied
空,,から,sky,N3,Vocabulary,,,,,not studied,not studied
柄,,がら,"hilt (of a sword),haft (of a dagger),handgrip",N3,Vocabulary,,,,,not studied,not studied
刈る,,かる,"to cut (hair),to mow (grass),to harvest",N3,Vocabulary,,,,,not studied,not studied
彼等,,かれら,they (usually male),N3,Vocabulary,,,,,not studied,not studied
川,,かわ,river,N3,Vocabulary,,,,,not studied,not studied
河,,かわ,"river,stream",N3,Vocabulary,,,,,not studied,not studied
皮,,かわ,"skin,hide,leather,fur,pelt,bark,shell",N3,Vocabulary,,,,,not studied,not studied
革,,かわ,leather,N3,Vocabulary,,,,,not studied,not studied
,,かわいそう,"poor,pitiable,pathetic",N3,Vocabulary,,,,,not studied,not studied
,,かわいらしい,"lovely,sweet",N3,Vocabulary,,,,,not studied,not studied
缶,,かん,"can,tin",N3,Vocabulary,,,,,not studied,not studied
勘,,かん,"perception,intuition,the sixth sense",N3,Vocabulary,,,,,not studied,not studied
考え,,かんがえ,"thinking,thought,ideas,intention",N3,Vocabulary,,,,,not studied,not studied
感覚,,かんかく,"sense,sensation",N3,Vocabulary,,,,,not studied,not studied
観客,,かんきゃく,"audience,spectator(s)",N3,Vocabulary,,,,,not studied,not studied
環境,,かんきょう,"environment,circumstance",N3,Vocabulary,,,,,not studied,not studied
歓迎,,かんげい,"welcome,reception",N3,Vocabulary,,,,,not studied,not studied
観光,,かんこう,sightseeing,N3,Vocabulary,,,,,not studied,not studied
観察,,かんさつ,"observation,survey",N3,Vocabulary,,,,,not studied,not studied
感じ,,かんじ,"feeling,sense,impression",N3,Vocabulary,,,,,not studied,not studied
感謝,,かんしゃ,"thanks,gratitude",N3,Vocabulary,,,,,not studied,not studied
患者,,かんじゃ,a patient,N3,Vocabulary,,,,,not studied,not studied
勘定,,かんじょう,"calculation,counting,consideration",N3,Vocabulary,,,,,not studied,not studied
感情,,かんじょう,"emotion(s),feeling(s),sentiment",N3,Vocabulary,,,,,not studied,not studied
感じる,,かんじる,"to feel,to sense,to experience",N3,Vocabulary,,,,,not studied,not studied
感心,,かんしん,"admiration,Well done!",N3,Vocabulary,,,,,not studied,not studied
関心,,かんしん,"concern,interest",N3,Vocabulary,,,,,not studied,not studied
関する,,かんする,"to concern,to be related",N3,Vocabulary,,,,,not studied,not studied
完成,,かんせい,"(1) complete,completion,(2) perfection,accomplishment",N3,Vocabulary,,,,,not studied,not studied
完全,,かんぜん,"perfection,completeness",N3,Vocabulary,,,,,not studied,not studied
感動,,かんどう,"being deeply moved,excitement,impression,deep emotion",N3,Vocabulary,,,,,not studied,not studied
監督,,かんとく,"supervision,control,superintendence",N3,Vocabulary,,,,,not studied,not studied
管理,,かんり,"control,management (e.g. of a business)",N3,Vocabulary,,,,,not studied,not studied
完了,,かんりょう,"completion,conclusion",N3,Vocabulary,,,,,not studied,not studied
関連,,かんれん,"relation,connection,relevance",N3,Vocabulary,,,,,not studied,not studied
議員,,ぎいん,"member of the Diet, congress or parliament",N3,Vocabulary,,,,,not studied,not studied
記憶,,きおく,"memory,recollection,remembrance",N3,Vocabulary,,,,,not studied,not studied
気温,,きおん,temperature,N3,Vocabulary,,,,,not studied,not studied
機械,,きかい,"machine,mechanism",N3,Vocabulary,,,,,not studied,not studied
議会,,ぎかい,"Diet,congress,parliament",N3,Vocabulary,,,,,not studied,not studied
期間,,きかん,"period,term",N3,Vocabulary,,,,,not studied,not studied
機関,,きかん,"organ,mechanism,facility,engine",N3,Vocabulary,,,,,not studied,not studied
企業,,きぎょう,"enterprise,undertaking",N3,Vocabulary,,,,,not studied,not studied
効く,,きく,to be effective,N3,Vocabulary,,,,,not studied,not studied
機嫌,,きげん,"humour,temper,mood",N3,Vocabulary,,,,,not studied,not studied
気候,,きこう,climate,N3,Vocabulary,,,,,not studied,not studied
岸,,きし,"bank,coast,shore",N3,Vocabulary,,,,,not studied,not studied
生地,,きじ,birthplace,N3,Vocabulary,,,,,not studied,not studied
記事,,きじ,"article,news story,report,account",N3,Vocabulary,,,,,not studied,not studied
技師,,ぎし,"engineer,technician",N3,Vocabulary,,,,,not studied,not studied
記者,,きしゃ,reporter,N3,Vocabulary,,,,,not studied,not studied
傷,,きず,"wound,injury,hurt,cut",N3,Vocabulary,,,,,not studied,not studied
期待,,きたい,"expectation,anticipation,hope",N3,Vocabulary,,,,,not studied,not studied
帰宅,,きたく,returning home,N3,Vocabulary,,,,,not studied,not studied
貴重,,きちょう,"precious,valuable",N3,Vocabulary,,,,,not studied,not studied
議長,,ぎちょう,chairman,N3,Vocabulary,,,,,not studied,not studied
,,きちんと,"precisely,accurately",N3,Vocabulary,,,,,not studied,not studied
,,きつい,"tight,close,intense",N3,Vocabulary,,,,,not studied,not studied
気付く,,きづく,"to notice,to recognize,to become aware of",N3,Vocabulary,,,,,not studied,not studied
気に入る,,きにいる,"to be pleased with,to suit",N3,Vocabulary,,,,,not studied,not studied
記入,,きにゅう,"entry,filling in of forms",N3,Vocabulary,,,,,not studied,not studied
記念,,きねん,"commemoration,memory",N3,Vocabulary,,,,,not studied,not studied
機能,,きのう,"function,faculty",N3,Vocabulary,,,,,not studied,not studied
気の毒,,きのどく,"pitiful,a pity",N3,Vocabulary,,,,,not studied,not studied
寄付,,きふ,"contribution,donation",N3,Vocabulary,,,,,not studied,not studied
希望,,きぼう,"hope,wish,aspiration",N3,Vocabulary,,,,,not studied,not studied
基本,,きほん,"foundation,basis,standard",N3,Vocabulary,,,,,not studied,not studied
決まり,,きまり,"settlement,conclusion,regulation,rule",N3,Vocabulary,,,,,not studied,not studied
気味,,きみ,"-like,-looking,-looked",N3,Vocabulary,,,,,not studied,not studied
奇妙,,きみょう,"strange,queer,curious",N3,Vocabulary,,,,,not studied,not studied
義務,,ぎむ,"duty,obligation,responsibility",N3,Vocabulary,,,,,not studied,not studied
疑問,,ぎもん,"question,problem,doubt,guess",N3,Vocabulary,,,,,not studied,not studied
逆,,ぎゃく,"reverse,opposite",N3,Vocabulary,,,,,not studied,not studied
,,キャプテン,captain,N3,Vocabulary,,,,,not studied,not studied
,,キャンプ,camp,N3,Vocabulary,,,,,not studied,not studied
九,,きゅう,nine,N3,Vocabulary,,,,,not studied,not studied
旧,,きゅう,ex-,N3,Vocabulary,,,,,not studied,not studied
級,,きゅう,"class, grade, rank,school class, grade",N3,Vocabulary,,,,,not studied,not studied
球,,きゅう,"globe,sphere,ball",N3,Vocabulary,,,,,not studied,not studied
休暇,,きゅうか,"holiday,day off,furlough",N3,Vocabulary,,,,,not studied,not studied
休憩,,きゅうけい,"rest,break,recess,intermission",N3,Vocabulary,,,,,not studied,not studied
急激,,きゅうげき,"sudden,precipitous,radical",N3,Vocabulary,,,,,not studied,not studied
